profile_id,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,risk_score_rho_raw,risk_percentile_u,contribution_health_status,contribution_age_group,contribution_house_price_zip,contribution_area_type,contribution_housing_type,contribution_distance_to_clinic,contribution_driving_condition,metric_need_mean_DFS,metric_need_sd_DFS,metric_need_mean_Dyspnea,metric_need_sd_Dyspnea,metric_need_mean_Oral_Meds,metric_need_sd_Oral_Meds,metric_need_mean_DTC,metric_need_sd_DTC,metric_need_mean_PPH,metric_need_sd_PPH,metric_need_mean_Care_of_Patients,metric_need_sd_Care_of_Patients,metric_need_mean_Communications,metric_need_sd_Communications,metric_need_mean_Care_Issues,metric_need_sd_Care_Issues,metric_need_mean_Agency_Rating,metric_need_sd_Agency_Rating,metric_need_mean_Recommend,metric_need_sd_Recommend,threshold_route,anchor_rank_pool_3,anchor_rank_pool_5,anchor_rank_pool_10,public_data_only,synthetic_data,production_validated,provenance,risk_reference_id,risk_reference_sample_size,risk_percentile_semantics,metric_need_uncertainty_method
profile_0001,healthy,age_80_plus,high,micropolitan,single_home,near,good_summer,0.1726344448891191,0.0325532553255325,0.0,0.1726344448891191,0.0,0.0,0.0,0.0,0.0,0.1795999839268245,0.03299155650018452,0.1546868077618691,0.033231303195190055,0.2181136346684085,0.03347104989019559,0.1749308202031604,0.033710796585201125,0.1945194677275067,0.03395054328020666,0.1432702546268243,0.034190289975212194,0.1672096497409138,0.03443003667021773,0.1847011513427531,0.034669783365223264,0.1070798835643009,0.0349095300602288,0.0891420122326923,0.03514927675523434,zip_history_or_fallback_lower_risk,3,5,10,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0002,healthy,age_80_plus,high,micropolitan,single_home,near,bad_winter,0.2397232891581653,0.0905644516658361,0.0,0.1726344448891191,0.0,0.0,0.0,0.0,0.0670888442690466,0.2460679543340219,0.03299155650018452,0.2660613093504164,0.033231303195190055,0.253782742242378,0.03347104989019559,0.2350465015088042,0.033710796585201125,0.255674950723041,0.03395054328020666,0.2722134837909675,0.034190289975212194,0.2116426442943291,0.03443003667021773,0.2278946498496544,0.034669783365223264,0.1511592197321711,0.0349095300602288,0.2050216790785263,0.03514927675523434,zip_history_or_fallback_lower_risk,3,5,9,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0003,healthy,age_80_plus,high,micropolitan,single_home,medium,good_summer,0.228811634724182,0.0788578857885788,0.0,0.1726344448891191,0.0,0.0,0.0,0.0561771898350628,0.0,0.2202192991756678,0.03299155650018452,0.2750393821511276,0.033231303195190055,0.2456476826202453,0.03347104989019559,0.2189134264256683,0.033710796585201125,0.2412354616824287,0.03395054328020666,0.2378286226805281,0.034190289975212194,0.1943631464124464,0.03443003667021773,0.2097079136362227,0.034669783365223264,0.2084451388889453,0.0349095300602288,0.2118833801888089,0.03514927675523434,zip_history_or_fallback_lower_risk,3,5,9,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0004,healthy,age_80_plus,high,micropolitan,single_home,medium,bad_winter,0.2959004789932279,0.1717671767176717,0.0,0.1726344448891191,0.0,0.0,0.0,0.0561771898350628,0.0670888442690466,0.2866872695828634,0.03299155650018452,0.3864138837396726,0.033231303195190055,0.2813167901942147,0.03347104989019559,0.2790291077313121,0.033710796585201125,0.3023909446779628,0.03395054328020666,0.366771851844675,0.034190289975212194,0.2387961409658581,0.03443003667021773,0.252901412143124,0.034669783365223264,0.2525244750568155,0.0349095300602288,0.3277630470346461,0.03514927675523434,zip_history_or_fallback_lower_risk,3,4,8,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0005,healthy,age_80_plus,high,micropolitan,single_home,far,good_summer,0.2849888245592443,0.1507471190180462,0.0,0.1726344448891191,0.0,0.0,0.0,0.1123543796701254,0.0,0.2608386144245093,0.03299155650018452,0.3953919565403838,0.033231303195190055,0.2731817305720802,0.03347104989019559,0.2628960326481779,0.033710796585201125,0.2879514556373506,0.03395054328020666,0.3323869907342356,0.034190289975212194,0.2215166430839754,0.03443003667021773,0.2347146759296924,0.034669783365223264,0.3098103942135865,0.0349095300602288,0.3346247481449287,0.03514927675523434,zip_history_or_fallback_lower_risk,3,4,9,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0006,healthy,age_80_plus,high,micropolitan,single_home,far,bad_winter,0.3520776688282905,0.2845123895979473,0.0,0.1726344448891191,0.0,0.0,0.0,0.1123543796701254,0.0670888442690466,0.3273065848317067,0.03299155650018452,0.506766458128929,0.033231303195190055,0.3088508381460515,0.03347104989019559,0.3230117139538217,0.033710796585201125,0.3491069386328844,0.03395054328020666,0.4613302198983789,0.034190289975212194,0.2659496376373907,0.03443003667021773,0.2779081744365906,0.034669783365223264,0.3538897303814599,0.0349095300602288,0.4505044149907626,0.03514927675523434,zip_history_or_fallback_lower_risk,2,4,7,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0007,healthy,age_80_plus,high,micropolitan,apartment,near,good_summer,0.2314874431237163,0.081008100810081,0.0,0.1726344448891191,0.0,0.0,0.0588529982345975,0.0,0.0,0.2488374531009873,0.03299155650018452,0.1882787465793429,0.033231303195190055,0.2835477250689289,0.03347104989019559,0.2481578753767198,0.033710796585201125,0.258223095847855,0.03395054328020666,0.1733267221246637,0.034190289975212194,0.2424539921243255,0.03443003667021773,0.2216413816113037,0.034669783365223264,0.1438126637041948,0.0349095300602288,0.1426272195723051,0.03514927675523434,zip_history_or_fallback_lower_risk,3,5,9,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0008,healthy,age_80_plus,high,micropolitan,apartment,near,bad_winter,0.2985762873927627,0.1760762927558188,0.0,0.1726344448891191,0.0,0.0,0.0588529982345975,0.0,0.0670888442690466,0.3153054235081847,0.03299155650018452,0.2996532481678902,0.033231303195190055,0.3192168326429002,0.03347104989019559,0.3082735566823636,0.033710796585201125,0.3193785788433889,0.03395054328020666,0.3022699512888105,0.034190289975212194,0.2868869866777409,0.03443003667021773,0.264834880118205,0.034669783365223264,0.1878919998720651,0.0349095300602288,0.2585068864181391,0.03514927675523434,zip_history_or_fallback_lower_risk,3,4,8,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0009,healthy,age_80_plus,high,micropolitan,apartment,medium,good_summer,0.2876646329587793,0.1550028256751417,0.0,0.1726344448891191,0.0,0.0,0.0588529982345975,0.0561771898350628,0.0,0.2894567683498306,0.03299155650018452,0.3086313209686013,0.033231303195190055,0.3110817730207675,0.03347104989019559,0.2921404815992277,0.033710796585201125,0.3049390898027768,0.03395054328020666,0.2678850901783712,0.034190289975212194,0.2696074887958545,0.03443003667021773,0.2466481439047734,0.034669783365223264,0.2451779190288361,0.0349095300602288,0.2653685875284249,0.03514927675523434,zip_history_or_fallback_lower_risk,3,4,9,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
profile_0010,healthy,age_80_plus,high,micropolitan,apartment,medium,bad_winter,0.354753477227825,0.2913291329132913,0.0,0.1726344448891191,0.0,0.0,0.0588529982345975,0.0561771898350628,0.0670888442690466,0.3559247387570262,0.03299155650018452,0.4200058225571464,0.033231303195190055,0.3467508805947369,0.03347104989019559,0.3522561629048715,0.033710796585201125,0.3660945727983107,0.03395054328020666,0.3968283193425145,0.034190289975212194,0.3140404833492698,0.03443003667021773,0.2898416424116716,0.034669783365223264,0.2892572551967095,0.0349095300602288,0.3812482543742589,0.03514927675523434,zip_history_or_fallback_lower_risk,2,4,7,True,True,False,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,10000,persisted_reference_ecdf,configured_reliability_proxy_not_empirical
